id,parentId,iNaturalistTaxonName,rank,iNaturalistTaxonImage,taxonName,foodValue,medicinalValue,spiritualValue,materialValue,tradeValue,indicatorValue,hulquminumName,hulquminumAuthority,audioLink,commonName
54262,47562,Abies,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/108627343/medium.jpeg,,,,,,,,,,,firs
63690,54262,Abies grandis,species,https://inaturalist-open-data.s3.amazonaws.com/photos/83838154/medium.jpeg,Abies grandis,1,1,1,1,1,1,t'a'hw,"(Thom, 2011)",https://drive.google.com/file/d/10xF1zjroJJksmGVJRBAEVoqxnUZQJ9nU/view?usp=sharing,grand fir
55322,48926,Abietinaria,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/8709/medium.jpg,,,,,,,,,,,coarse sea fir hydroids
50151,48151,Acanthaceae,family,https://inaturalist-open-data.s3.amazonaws.com/photos/100819149/medium.jpeg,,,,,,,,,,,acanthus family
49054,533431,Acanthochitonidae,family,https://inaturalist-open-data.s3.amazonaws.com/photos/3944337/medium.JPG,,,,,,,,,,,
372790,533431,Acanthochitonina,suborder,https://inaturalist-open-data.s3.amazonaws.com/photos/1182200/medium.jpg,Acanthochitonina,,,,,,,,,,
47467,47468,Acanthodoris,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/167877873/medium.jpg,,,,,,,,,,,
48447,47467,Acanthodoris hudsoni,species,https://inaturalist-open-data.s3.amazonaws.com/photos/13192558/medium.jpg,Acanthodoris hudsoni,,,,,,,,,,Hudson's dorid
47476,47467,Acanthodoris nanaimoensis,species,https://inaturalist-open-data.s3.amazonaws.com/photos/964/medium.jpg,Acanthodoris nanaimoensis,,,,,,,,,,Nanaimo nudibranch
450311,47397,Acantholithodes,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/6264545/medium.jpeg,,,,,,,,,,,
450310,450311,Acantholithodes hispidus,species,https://static.inaturalist.org/photos/122472606/medium.jpg,Acantholithodes hispidus,,,,,,,,,,hairy-spined crab
51159,47744,Acanthosomatidae,family,https://inaturalist-open-data.s3.amazonaws.com/photos/18216466/medium.jpeg,,,,,,,,,,,Shield Bugs
5085,5067,Accipiter,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/114451103/medium.jpg,,,,,,,,,,,Accipiters
5112,5085,Accipiter cooperii,species,https://inaturalist-open-data.s3.amazonaws.com/photos/170370008/medium.jpg,Accipiter cooperii,,,,,,,,,,Cooper's Hawk
5097,5085,Accipiter striatus,species,https://static.inaturalist.org/photos/112860673/medium.jpeg,Accipiter striatus,,,,,,,,,,Sharp-shinned Hawk
5067,71261,Accipitridae,family,https://inaturalist-open-data.s3.amazonaws.com/photos/12120585/medium.jpg,,,,,,,,,,,"Hawks, Eagles, and Kites"
71261,3,Accipitriformes,order,https://inaturalist-open-data.s3.amazonaws.com/photos/9972001/medium.jpg,,,,,,,,,,,"Hawks, Eagles, Kites, and Allies"
47727,58321,Acer,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/99147747/medium.jpg,,,,,,,,,,,maples
1419769,47727,Acer,section,https://inaturalist-open-data.s3.amazonaws.com/photos/104523520/medium.jpeg,Acer,,,,,,,,,,Acer sect. Acer
48227,47727,Acer macrophyllum,species,https://inaturalist-open-data.s3.amazonaws.com/photos/105744044/medium.jpeg,Acer macrophyllum,1,1,1,1,1,0,"ts'alhulhp, q'um'-unulhp","(Thom, 2011)",,bigleaf maple
84335,55584,Aceria,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/15366425/medium.jpg,,,,,,,,,,,
358373,84335,Aceria erinea,species,https://inaturalist-open-data.s3.amazonaws.com/photos/113290146/medium.jpeg,Aceria erinea,,,,,,,,,,Walnut Blister Mite
52818,47604,Achillea,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/2071495/medium.JPG,,,,,,,,,,,yarrows
52821,52818,Achillea millefolium,species,https://inaturalist-open-data.s3.amazonaws.com/photos/4902/medium.jpg,Achillea millefolium,,,,,,,tł’əlíqw’əłp,"(Turner, 2014)",,common yarrow
71943,49289,Achlys,genus,https://static.inaturalist.org/photos/121126/medium.JPG,,,,,,,,,,,
75263,71943,Achlys triphylla,species,https://static.inaturalist.org/photos/3816738/medium.jpg,Achlys triphylla,,,,,,,,,,vanilla leaf
47677,47678,Acmaea,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/59061174/medium.jpeg,,,,,,,,,,,
47676,47677,Acmaea mitra,species,https://static.inaturalist.org/photos/5690447/medium.jpg,Acmaea mitra,,,,,,,,,,whitecap limpet
47678,47114,Acmaeidae,family,https://inaturalist-open-data.s3.amazonaws.com/photos/18268/medium.jpg,,,,,,,,,,,
64336,47122,Acmispon,genus,https://static.inaturalist.org/photos/699816/medium.jpg,,,,,,,,,,,deervetch
57048,64336,Acmispon parviflorus,species,https://inaturalist-open-data.s3.amazonaws.com/photos/147260/medium.jpg,Acmispon parviflorus,,,,,,,,,,Short-flower Deervetch
47649,47651,Acrididae,family,https://inaturalist-open-data.s3.amazonaws.com/photos/4345025/medium.jpg,,,,,,,,,,,Short-horned Grasshoppers
429956,182778,Acrosiphonia,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/1760657/medium.jpg,,,,,,,,,,,
464879,429956,Acrosiphonia arcta,species,https://inaturalist-open-data.s3.amazonaws.com/photos/78927464/medium.jpg,Acrosiphonia arcta,,,,,,,,,,Green Tarantula Weed
47797,47533,Actiniaria,order,https://static.inaturalist.org/photos/48519610/medium.jpg,,,,,,,,,,,Sea Anemones
47796,47797,Actiniidae,family,https://inaturalist-open-data.s3.amazonaws.com/photos/29562826/medium.jpg,,,,,,,,,,,Actiniid Sea Anemones
47178,355675,Actinopterygii,class,https://inaturalist-open-data.s3.amazonaws.com/photos/252526503/medium.jpg,,1,1,1,0,1,0,t'emkw',"(Thom, 2011)",,Ray-finned Fishes
3977,3835,Actitis,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/8839/medium.jpg,,,,,,,,,,,Common and Spotted Sandpipers
72458,3977,Actitis macularius,species,https://inaturalist-open-data.s3.amazonaws.com/photos/46532647/medium.jpg,Actitis macularius,,,,,,,,,,Spotted Sandpiper
775851,47584,Adapedonta,order,https://inaturalist-open-data.s3.amazonaws.com/photos/21600165/medium.jpeg,,,,,,,,,,,"Rock-borers, Jacknives, and Razor Clams"
56855,47604,Adenocaulon,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/46132350/medium.jpg,,,,,,,,,,,trailplants
56854,56855,Adenocaulon bicolor,species,https://inaturalist-open-data.s3.amazonaws.com/photos/3471018/medium.jpeg,Adenocaulon bicolor,,,,,,,,,,American trailplant
20351,19728,Aegolius,genus,https://static.inaturalist.org/photos/102115787/medium.jpg,,,,,,,,,,,Forest Owls
20356,20351,Aegolius acadicus,species,https://inaturalist-open-data.s3.amazonaws.com/photos/28927383/medium.jpg,Aegolius acadicus,,,,,,,,,,Northern Saw-whet Owl
47464,47465,Aeolidia,genus,https://static.inaturalist.org/photos/39415184/medium.jpg,,,,,,,,,,,
498117,47464,Aeolidia loui,species,https://static.inaturalist.org/photos/1039324/medium.jpg,Aeolidia loui,,,,,,,,,,Warty Shag-rug Nudibranch
498116,47464,Aeolidia papillosa,species,https://inaturalist-open-data.s3.amazonaws.com/photos/178560744/medium.jpg,Aeolidia papillosa,,,,,,,,,,Shag-rug Nudibranch
47465,47113,Aeolidiidae,family,https://inaturalist-open-data.s3.amazonaws.com/photos/11374/medium.jpg,,,,,,,,,,,
564817,47113,Aeolidioidea,superfamily,https://inaturalist-open-data.s3.amazonaws.com/photos/10950779/medium.jpg,Aeolidioidea,,,,,,,,,,Aeolid Nudibranchs
191502,171652,Aequorea,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/8478564/medium.jpeg,,,,,,,,,,,water jellies
325995,191502,Aequorea victoria,species,https://inaturalist-open-data.s3.amazonaws.com/photos/10005489/medium.jpg,Aequorea victoria,,,,,,,,,,Victoria's Crystal Jelly
171652,48925,Aequoreidae,family,https://inaturalist-open-data.s3.amazonaws.com/photos/2614665/medium.jpeg,,,,,,,,,,,Many-ribbed Jellies
52520,51469,Aeshna,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/13977/medium.jpg,,,,,,,,,,,Hawkers and Typical Darners
51469,47792,Aeshnidae,family,https://static.inaturalist.org/photos/10091125/medium.jpg,,,,,,,,,,,Darners
195398,152823,Agalmatidae,family,https://inaturalist-open-data.s3.amazonaws.com/photos/4799064/medium.jpg,,,,,,,,,,,
50086,49707,Agapostemon,genus,https://static.inaturalist.org/photos/41193264/medium.jpg,,,,,,,,,,,Striped Sweat Bees
133797,50086,Agapostemon texanus,species,https://inaturalist-open-data.s3.amazonaws.com/photos/165112380/medium.jpeg,Agapostemon texanus,,,,,,,,,,Texas Striped Sweat Bee
500820,68789,Agaraceae,family,https://inaturalist-open-data.s3.amazonaws.com/photos/1584115/medium.jpg,,,,,,,,,,,
47394,47167,Agaricaceae,family,https://static.inaturalist.org/photos/2019755/medium.jpg,,,,,,,,,,,field mushrooms and allies
47167,50814,Agaricales,order,https://inaturalist-open-data.s3.amazonaws.com/photos/7259109/medium.jpg,,,,,,,,,,,Common Gilled Mushrooms and Allies
785517,47167,Agaricineae,suborder,https://inaturalist-open-data.s3.amazonaws.com/photos/12938364/medium.jpg,Agaricineae,,,,,,,,,,
50814,492000,Agaricomycetes,class,https://inaturalist-open-data.s3.amazonaws.com/photos/6993855/medium.jpg,,,,,,,,,,,"mushrooms, bracket fungi, puffballs, and allies"
492000,47169,Agaricomycotina,subphylum,https://inaturalist-open-data.s3.amazonaws.com/photos/102914709/medium.jpg,,,,,,,,,,,Higher Basidiomycetes
9740,11989,Agelaius,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/28027/medium.jpg,,,,,,,,,,,Agelaius Blackbirds
