"scientificName","scientificNameAuthority","taxonID","kingdom","phylum","class","order","subordr","infrrdr","family","genus","subgens","spcfcEp","infrspE","taxnRnk","instttC","cllctnC","ctlgNmb","datstNm","occrrID","rcrddBy","rcrdNmb","fldNmbr","eventDt","year","month","day","bssOfRc","localty","lctnRmr","island","sttPrvn","country","cntryCd","crdnUIM","grfrncB","grfrnVS","grfrncP","grfrncR","habitat","vrbtmDp","vrbtmEl","occrrnS","smplngP","occrrnR","indvdlC","sex","estblsM","prvnclS","ntnlStt","idntfdB","idntfcQ","idntfcR","prvsIdn","bblgrpC","assctdR","latitud","longitd"
"Rubus nivalis","Douglas ex Hook.",78893,"Plantae","Tracheophyta","Magnoliopsida","Rosales",NA,NA,"Rosaceae","Rubus",NA,"Rubus nivalis",NA,"species","iNaturalist","Observations","134428136",NA,"https://www.inaturalist.org/observations/134428136","botanybum",NA,NA,"2022-09-08",2022,9,8,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",4,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S3S4 (2018)",NA,"botanybum",NA,NA,NA,NA,NA,49.43,-123.53
"Rubus nivalis","Douglas ex Hook.",78893,"Plantae","Tracheophyta","Magnoliopsida","Rosales",NA,NA,"Rosaceae","Rubus",NA,"Rubus nivalis",NA,"species","iNaturalist","Observations","93549984",NA,"https://www.inaturalist.org/observations/93549984","botanybum",NA,NA,"2021-09-02",2021,9,2,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",4,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S3S4 (2018)",NA,"botanybum",NA,NA,NA,NA,NA,49.43,-123.53
"Frangula purshiana","(D.C.) Cooper",77156,"Plantae","Tracheophyta","Magnoliopsida","Rosales",NA,NA,"Rhamnaceae","Frangula",NA,"Frangula purshiana",NA,"species","iNaturalist","Observations","82109703",NA,"https://www.inaturalist.org/observations/82109703","kristinop",NA,NA,"2021-05-30",2021,5,30,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",5005,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5",NA,"kristinop",NA,NA,NA,NA,NA,49.43,-123.52
"Lysimachia latifolia","(Hook.) Cholewa",496537,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Primulaceae","Lysimachia",NA,"Lysimachia latifolia",NA,"species","iNaturalist","Observations","82109586",NA,"https://www.inaturalist.org/observations/82109586","kristinop",NA,NA,"2021-05-30",2021,5,30,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",23,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4S5 (2015)",NA,"kristinop",NA,NA,NA,NA,NA,49.43,-123.52
"Monotropa uniflora","L.",49477,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Monotropa",NA,"Monotropa uniflora",NA,"species","iNaturalist","Observations","55932643",NA,"https://www.inaturalist.org/observations/55932643","georgeamsmith",NA,NA,"2020-08-09",2020,8,9,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",10,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"giantcicada",NA,NA,NA,NA,NA,49.43,-123.52
"Monotropa uniflora","L.",49477,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Monotropa",NA,"Monotropa uniflora",NA,"species","iNaturalist","Observations","55954251",NA,"https://www.inaturalist.org/observations/55954251","georgeamsmith",NA,NA,"2020-08-09",2020,8,9,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",5,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"roomthily",NA,NA,NA,NA,NA,49.43,-123.52
"Monotropa uniflora","L.",49477,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Monotropa",NA,"Monotropa uniflora",NA,"species",NA,NA,NA,NA,"q-10654374395",NA,NA,NA,"2022-07-20",2022,7,20,"HUMAN_OBSERVATION",NA,NA,NA,NA,"Canada","CA",11,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,1,NA,"native","S4 (2015)",NA,NA,NA,NA,NA,NA,NA,49.43,-123.52
"Rubus nivalis","Douglas ex Hook.",78893,"Plantae","Tracheophyta","Magnoliopsida","Rosales",NA,NA,"Rosaceae","Rubus",NA,"Rubus nivalis",NA,"species","UBC","UBCVascular","V250568",NA,"A4AA763D-0EB5-C343-B8C4-9931B0C1C276","Teresa Gagne, Denis Laplante","TAG-002",NA,"2019-08-11",2019,8,11,"PRESERVED_SPECIMEN","Langdale, Sprockids park",NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S3S4 (2018)",NA,"Teresa Gagne and Denis Laplante",NA,NA,NA,NA,NA,49.43,-123.52
"Acer macrophyllum","Pursh",48227,"Plantae","Tracheophyta","Magnoliopsida","Sapindales",NA,NA,"Sapindaceae","Acer",NA,"Acer macrophyllum",NA,"species","iNaturalist","Observations","61262695",NA,"https://www.inaturalist.org/observations/61262695","jfclarke",NA,NA,"2020-09-26",2020,9,26,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",171,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Taylor Justason",NA,NA,NA,NA,NA,49.43,-123.5
"Athyrium filix-femina var. cyclosorum","(L.) Roth",52669,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Athyriaceae","Athyrium",NA,"Athyrium filix-femina","cyclosorum","varietas","iNaturalist","Observations","61262691",NA,"https://www.inaturalist.org/observations/61262691","jfclarke",NA,NA,"2020-09-26",2020,9,26,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",171,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"jfclarke",NA,NA,NA,NA,NA,49.43,-123.5
