"scientificName","scientificNameAuthority","taxonID","kingdom","phylum","class","order","subordr","infrrdr","family","genus","subgens","spcfcEp","infrspE","taxnRnk","instttC","cllctnC","ctlgNmb","datstNm","occrrID","rcrddBy","rcrdNmb","fldNmbr","eventDt","year","month","day","bssOfRc","localty","lctnRmr","island","sttPrvn","country","cntryCd","crdnUIM","grfrncB","grfrnVS","grfrncP","grfrncR","habitat","vrbtmDp","vrbtmEl","occrrnS","smplngP","occrrnR","indvdlC","sex","estblsM","prvnclS","ntnlStt","idntfdB","idntfcQ","idntfcR","prvsIdn","bblgrpC","assctdR","latitud","longitd"
"Prosartes hookeri","Torr.",51071,"Plantae","Tracheophyta","Liliopsida","Liliales",NA,NA,"Liliaceae","Prosartes",NA,"Prosartes hookeri",NA,"species","iNaturalist","Observations","48175454",NA,"https://www.inaturalist.org/observations/48175454","Cole Gaerber",NA,NA,"2020-06-01",2020,6,1,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",26454,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"Cole Gaerber",NA,NA,NA,NA,NA,49.871,-123.35
"Triantha glutinosa","Michx.",169913,"Plantae","Tracheophyta","Liliopsida","Alismatales",NA,NA,"Tofieldiaceae","Triantha",NA,"Triantha glutinosa",NA,"species","UBC","UBCVascular","V58277",NA,"BAB00E83-4467-A241-9B78-906A3354BCA9","Vernon C. Brink","s.n.",NA,"1944-08-04",1944,8,4,"PRESERVED_SPECIMEN","Squamish, Tantalus Range",NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"John W. Eastham",NA,NA,NA,NA,NA,49.818,-123.3
"Leptarrhena pyrolifolia","(D. Don) R. Br. ex Ser.",128870,"Plantae","Tracheophyta","Magnoliopsida","Saxifragales",NA,NA,"Saxifragaceae","Leptarrhena",NA,"Leptarrhena pyrolifolia",NA,"species","iNaturalist","Observations","34345599",NA,"https://www.inaturalist.org/observations/34345599","zanderchila",NA,NA,"2019-10-11",2019,10,11,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",4578,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Taylor Justason",NA,NA,NA,NA,NA,50.025,-123.24
"Allotropa virgata","Torr. & A. Gray",62481,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Allotropa",NA,"Allotropa virgata",NA,"species","UBC","UBCVascular","V45437",NA,"E2E7BDA7-7633-0A4B-88AE-E93F11EA5F89","Fred Perry","s.n.",NA,"1914-06-29",1914,6,29,"PRESERVED_SPECIMEN","Howe Sound, Brunswick Mt.",NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S3S4 (2015)",NA,"J. D.",NA,NA,NA,NA,NA,49.485,-123.2
"Castilleja hispida var. hispida","Benth.",234938,"Plantae","Tracheophyta","Magnoliopsida","Lamiales",NA,NA,"Orobanchaceae","Castilleja",NA,"Castilleja hispida","hispida","varietas","iNaturalist","Observations","109340347",NA,"https://www.inaturalist.org/observations/109340347","Steve Ansell",NA,NA,"2005-07-10",2005,7,10,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",25,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"Steve Ansell",NA,NA,NA,NA,NA,49.485,-123.2
"Chimaphila umbellata","(L.) W.P.C. Barton",62236,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Chimaphila",NA,"Chimaphila umbellata",NA,"species","iNaturalist","Observations","56097419",NA,"https://www.inaturalist.org/observations/56097419","jfclarke",NA,NA,"2020-08-09",2020,8,9,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"jfclarke",NA,NA,NA,NA,NA,49.485,-123.2
"Cryptogramma acrostichoides","R. Br.",76536,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Pteridaceae","Cryptogramma",NA,"Cryptogramma acrostichoides",NA,"species","iNaturalist","Observations","68842067",NA,"https://www.inaturalist.org/observations/68842067","Steve Ansell",NA,NA,"2020-08-09",2020,8,9,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",24,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Steve Ansell",NA,NA,NA,NA,NA,49.485,-123.2
"Cryptogramma acrostichoides","R. Br.",76536,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Pteridaceae","Cryptogramma",NA,"Cryptogramma acrostichoides",NA,"species","iNaturalist","Observations","68842400",NA,"https://www.inaturalist.org/observations/68842400","Steve Ansell",NA,NA,"2020-08-09",2020,8,9,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Steve Ansell",NA,NA,NA,NA,NA,49.485,-123.2
"Cryptogramma acrostichoides","R. Br.",76536,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Pteridaceae","Cryptogramma",NA,"Cryptogramma acrostichoides",NA,"species","iNaturalist","Observations","68842296",NA,"https://www.inaturalist.org/observations/68842296","Steve Ansell",NA,NA,"2020-08-09",2020,8,9,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",16,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Steve Ansell",NA,NA,NA,NA,NA,49.485,-123.2
"Cystopteris fragilis","(L.) Bernh.",58755,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Cystopteridaceae","Cystopteris",NA,"Cystopteris fragilis",NA,"species","iNaturalist","Observations","59542469",NA,"https://www.inaturalist.org/observations/59542469","Steve Ansell",NA,NA,"2020-08-09",2020,8,9,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",12,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Steve Ansell",NA,NA,NA,NA,NA,49.485,-123.2
