"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","latitude","longitude"
"Chamaenerion angustifolium","(L.) Scop.",564969,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","",NA,"Onagraceae","Chamaenerion",NA,"Chamaenerion angustifolium","","species","iNaturalist","Observations","143501641","","https://www.inaturalist.org/observations/143501641","ellika_cairns","",NA,"2022-08-07",2022,8,7,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",208,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2019)",NA,"ellika_cairns",NA,NA,NA,NA,NA,49.98,-123.21
"Ceanothus velutinus var. velutinus","Douglas ex Hook.",64043,"Plantae","Tracheophyta","Magnoliopsida","Rosales","",NA,"Rhamnaceae","Ceanothus",NA,"Ceanothus velutinus","velutinus","varietas","RBCM","V","V110936","","RBCM:Botany:V110936","Brenda Storey","BS-78-24",NA,"1978-06-07",1978,6,7,"PRESERVED_SPECIMEN","Pillchuck Creek: on Pillchuck Creek Road",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,1,NA,"native","S5 (2020)",NA,"Kendrick Marr",NA,NA,NA,NA,NA,49.917,-123.21
"Anaphalis margaritacea","(L.) Benth. & Hook.",52833,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Anaphalis",NA,"Anaphalis margaritacea","","species","iNaturalist","Observations","138187012","","https://www.inaturalist.org/observations/138187012","adamrawski","",NA,"2022-10-09",2022,10,9,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Radu Scurtescu",NA,NA,NA,NA,NA,50.007,-123.2
"Chamaenerion angustifolium","(L.) Scop.",564969,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","",NA,"Onagraceae","Chamaenerion",NA,"Chamaenerion angustifolium","","species","iNaturalist","Observations","138192469","","https://www.inaturalist.org/observations/138192469","adamrawski","",NA,"2022-10-09",2022,10,9,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2019)",NA,"Radu Scurtescu",NA,NA,NA,NA,NA,49.998,-123.19
"Lysichiton americanus","Hultén & H.St.John",48537,"Plantae","Tracheophyta","Liliopsida","Alismatales","",NA,"Araceae","Lysichiton",NA,"Lysichiton americanus","","species","","","","","q-10607049993","","",NA,"2022-05-31",2022,5,31,"HUMAN_OBSERVATION","",NA,NA,"","Canada","CA",23,"","","","",NA,NA,NA,"present",NA,NA,1,NA,"native","S5 (2019)",NA,"",NA,NA,NA,NA,NA,49.98,-123.19
"Gaultheria ovatifolia","A. Gray",77228,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,"Ericaceae","Gaultheria",NA,"Gaultheria ovatifolia","","species","iNaturalist","Observations","114534786","","https://www.inaturalist.org/observations/114534786","Stephen Hui","",NA,"2022-04-30",2022,4,30,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",12,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"Stephen Hui",NA,NA,NA,NA,NA,49.971,-123.17
"Lycopodium clavatum","L.",77914,"Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","",NA,"Lycopodiaceae","Lycopodium",NA,"Lycopodium clavatum","","species","iNaturalist","Observations","114535528","","https://www.inaturalist.org/observations/114535528","Stephen Hui","",NA,"2022-04-30",2022,4,30,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",9,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Stephen Hui",NA,NA,NA,NA,NA,49.971,-123.17
"Lysichiton americanus","Hultén & H.St.John",48537,"Plantae","Tracheophyta","Liliopsida","Alismatales","",NA,"Araceae","Lysichiton",NA,"Lysichiton americanus","","species","iNaturalist","Observations","114535607","","https://www.inaturalist.org/observations/114535607","Stephen Hui","",NA,"2022-04-30",2022,4,30,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",18,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2019)",NA,"Stephen Hui",NA,NA,NA,NA,NA,49.971,-123.17
"Vaccinium parvifolium","Sm.",48354,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,"Ericaceae","Vaccinium",NA,"Vaccinium parvifolium","","species","iNaturalist","Observations","45683661","","https://www.inaturalist.org/observations/45683661","Chloe and Trevor Van Loon","",NA,"2020-05-09",2020,5,9,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",26454,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Chloe and Trevor Van Loon",NA,NA,NA,NA,NA,49.971,-123.17
"Sorbus aucuparia","L.",56063,"Plantae","Tracheophyta","Magnoliopsida","Rosales","",NA,"Rosaceae","Sorbus",NA,"Sorbus aucuparia","","species","iNaturalist","Observations","17080266","","https://www.inaturalist.org/observations/17080266","Samantha Leigh","",NA,"2018-09-28",2018,9,28,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"exotic","SNA (2001)",NA,"Samantha Leigh",NA,NA,NA,NA,NA,50.025,-123.16
