"id","parentId","iNaturalistTaxonName","rank","iNaturalistTaxonImage","taxonName","Food Value","Medicinal Value","Spiritual Value","Material Value","Trade Value","Indicator Value","Hulquminum Name","Hulquminum Authority","Audio Link","commonName"
7576,7575,"Thryomanes bewickii","species","https://inaturalist-open-data.s3.amazonaws.com/photos/233640/medium.jpg","Thryomanes bewickii",,,,,,,"","","","Bewick's Wren"
7823,7251,"Corvidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/216581067/medium.jpeg","",,,,,,,,,,"Crows, Jays, and Magpies"
7998,7823,"Corvus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/67528495/medium.jpg","",,,,,,,,,,"Crows and Ravens"
8010,7998,"Corvus corax","species","https://inaturalist-open-data.s3.amazonaws.com/photos/119994010/medium.jpg","Corvus corax",,,,,,,"","","","Common Raven"
8021,7998,"Corvus brachyrhynchos","species","https://inaturalist-open-data.s3.amazonaws.com/photos/24115/medium.jpg","Corvus brachyrhynchos",,,,,,,"","","","American Crow"
9079,7251,"Fringillidae","family","https://static.inaturalist.org/photos/31423764/medium.jpg","",,,,,,,,,,"Finches, Euphonias, and Allies"
9091,559248,"Melospiza","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/24993/medium.jpg","",,,,,,,,,,"Melospiza Sparrows"
9100,9091,"Melospiza melodia","species","https://inaturalist-open-data.s3.amazonaws.com/photos/168805729/medium.jpg","Melospiza melodia",,,,,,,"","","","Song Sparrow"
9132,559248,"Spizella","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/314460186/medium.jpg","",,,,,,,,,,"Spizella Sparrows"
9135,9132,"Spizella passerina","species","https://inaturalist-open-data.s3.amazonaws.com/photos/268890673/medium.jpeg","Spizella passerina",,,,,,,"","","","Chipping Sparrow"
9175,559248,"Zonotrichia","genus","https://static.inaturalist.org/photos/7548065/medium.jpg","",,,,,,,,,,"Zonotrichia Sparrows"
9176,9175,"Zonotrichia leucophrys","species","https://inaturalist-open-data.s3.amazonaws.com/photos/65971681/medium.jpg","Zonotrichia leucophrys",,,,,,,"","","","White-crowned Sparrow"
9405,559248,"Pipilo","genus","https://static.inaturalist.org/photos/114596523/medium.jpg","",,,,,,,,,,"Typical Towhees"
9420,9405,"Pipilo maculatus","species","https://static.inaturalist.org/photos/67714398/medium.jpg","Pipilo maculatus",,,,,,,"","","","Spotted Towhee"
9740,11989,"Agelaius","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/28027/medium.jpg","",,,,,,,,,,"Agelaius Blackbirds"
9744,9740,"Agelaius phoeniceus","species","https://inaturalist-open-data.s3.amazonaws.com/photos/208307646/medium.jpg","Agelaius phoeniceus",,,,,,,"","","","Red-winged Blackbird"
9913,71305,"Piranga","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/76199272/medium.jpeg","",,,,,,,,,,"Piranga Tanagers"
9919,9913,"Piranga ludoviciana","species","https://inaturalist-open-data.s3.amazonaws.com/photos/139350607/medium.jpg","Piranga ludoviciana",,,,,,,"","","","Western Tanager"
10093,559248,"Junco","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/179466318/medium.jpg","",,,,,,,,,,"Juncos"
10094,10093,"Junco hyemalis","species","https://inaturalist-open-data.s3.amazonaws.com/photos/23267970/medium.jpg","Junco hyemalis",,,,,,,"","","","Dark-eyed Junco"
10117,71349,"Cardellina","genus","https://static.inaturalist.org/photos/89699863/medium.jpg","",,,,,,,,,,""
10246,71349,"Setophaga","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/10829611/medium.jpg","",,,,,,,,,,"Setophaga Warblers"
10269,71305,"Pheucticus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/54387368/medium.jpg","",,,,,,,,,,"Pheucticus Grosbeaks"
10274,10269,"Pheucticus melanocephalus","species","https://inaturalist-open-data.s3.amazonaws.com/photos/225644/medium.jpg","Pheucticus melanocephalus",,,,,,,"","","","Black-headed Grosbeak"
10368,11989,"Molothrus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/204912661/medium.jpg","",,,,,,,,,,"Cowbirds"
10373,10368,"Molothrus ater","species","https://inaturalist-open-data.s3.amazonaws.com/photos/3356223/medium.jpg","Molothrus ater",,,,,,,"","","","Brown-headed Cowbird"
10410,9079,"Loxia","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/117417041/medium.jpeg","",,,,,,,,,,"Crossbills"
10411,10410,"Loxia curvirostra","species","https://inaturalist-open-data.s3.amazonaws.com/photos/5741273/medium.jpg","Loxia curvirostra",,,,,,,"","","","Red Crossbill"
11853,7251,"Hirundinidae","family","https://static.inaturalist.org/photos/106779240/medium.jpg","",,,,,,,,,,"Swallows and Martins"
11858,979618,"Petrochelidon pyrrhonota","species","https://inaturalist-open-data.s3.amazonaws.com/photos/27372454/medium.jpeg","Petrochelidon pyrrhonota",,,,,,,"","","","Cliff Swallow"
11863,11853,"Progne","genus","https://static.inaturalist.org/photos/269809951/medium.jpeg","",,,,,,,,,,"New World Martins"
11867,11863,"Progne subis","species","https://inaturalist-open-data.s3.amazonaws.com/photos/4079605/medium.jpg","Progne subis",,,,,,,"","","","Purple Martin"
11925,11853,"Tachycineta","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/70927/medium.jpg","",,,,,,,,,,"Tachycineta Swallows"
11931,11925,"Tachycineta thalassina","species","https://static.inaturalist.org/photos/79233627/medium.jpg","Tachycineta thalassina",,,,,,,"","","","Violet-green Swallow"
11935,11925,"Tachycineta bicolor","species","https://inaturalist-open-data.s3.amazonaws.com/photos/196885341/medium.jpeg","Tachycineta bicolor",,,,,,,"","","","Tree Swallow"
11989,7251,"Icteridae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/69769/medium.jpg","",,,,,,,,,,"New World Blackbirds and Orioles"
12705,15977,"Turdus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/201140907/medium.jpeg","",,,,,,,,,,"Typical Thrushes"
12727,12705,"Turdus migratorius","species","https://static.inaturalist.org/photos/179173588/medium.jpg","Turdus migratorius",,,,,,,"","","","American Robin"
12875,15977,"Catharus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/63860248/medium.jpeg","",,,,,,,,,,"Brown Thrushes and Nightingale-Thrushes"
12878,12875,"Catharus ustulatus","species","https://inaturalist-open-data.s3.amazonaws.com/photos/17801371/medium.jpg","Catharus ustulatus",,,,,,,"","","","Swainson's Thrush"
13547,7251,"Paridae","family","https://static.inaturalist.org/photos/11906853/medium.jpeg","",,,,,,,,,,"Tits, Chickadees, and Titmice"
14799,7251,"Sittidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/1178/medium.jpg","",,,,,,,,,,"Nuthatches"
14800,14799,"Sitta","genus","https://static.inaturalist.org/photos/258615081/medium.jpeg","",,,,,,,,,,"Nuthatches"
14823,14800,"Sitta canadensis","species","https://static.inaturalist.org/photos/327483470/medium.png","Sitta canadensis",,,,,,,"","","","Red-breasted Nuthatch"
15964,7251,"Troglodytidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/150980755/medium.jpg","",,,,,,,,,,"Wrens"
15977,7251,"Turdidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/1799195/medium.jpg","",,,,,,,,,,"Thrushes"
16074,980017,"Contopus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/93016139/medium.jpg","",,,,,,,,,,"Pewees"
16110,16074,"Contopus cooperi","species","https://static.inaturalist.org/photos/522041/medium.jpg","Contopus cooperi",,,,,,,"","","","Olive-sided Flycatcher"
16597,980017,"Empidonax","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/70977386/medium.jpeg","",,,,,,,,,,"Empidonax Flycatchers"
16598,16597,"Empidonax difficilis","species","https://static.inaturalist.org/photos/586237/medium.jpg","Empidonax difficilis",,,,,,,"","","","Western Flycatcher"
17354,7251,"Vireonidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/12919/medium.jpg","",,,,,,,,,,"Vireos, Shrike-Babblers, and Erpornis"
17355,17354,"Vireo","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/21352248/medium.jpg","",,,,,,,,,,"Vireos"
17375,17355,"Vireo huttoni","species","https://inaturalist-open-data.s3.amazonaws.com/photos/12670/medium.jpg","Vireo huttoni",,,,,,,"","","","Hutton's Vireo"
17382,17355,"Vireo cassinii","species","https://inaturalist-open-data.s3.amazonaws.com/photos/50546741/medium.jpeg","Vireo cassinii",,,,,,,"","","","Cassin's Vireo"
17394,17355,"Vireo gilvus","species","https://inaturalist-open-data.s3.amazonaws.com/photos/1161771/medium.JPG","Vireo gilvus",,,,,,,"","","","Warbling Vireo"
17550,3,"Piciformes","order","https://inaturalist-open-data.s3.amazonaws.com/photos/13295346/medium.jpg","",,,,,,,,,,"Woodpeckers, Barbets, Toucans and Honeyguides"
17599,17550,"Picidae","family","https://static.inaturalist.org/photos/335816609/medium.jpg","",,,,,,,,,,"Woodpeckers"
17834,17599,"Dryocopus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/62301367/medium.jpg","",,,,,,,,,,""
17855,17834,"Dryocopus pileatus","species","https://inaturalist-open-data.s3.amazonaws.com/photos/168915535/medium.jpg","Dryocopus pileatus",,,,,,,"","","","Pileated Woodpecker"
18230,17599,"Colaptes","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/17765/medium.jpg","",,,,,,,,,,"Flickers and Allies"
18236,18230,"Colaptes auratus","species","https://inaturalist-open-data.s3.amazonaws.com/photos/123812445/medium.jpg","Colaptes auratus",,,,,,,"","","","Northern Flicker"
18459,17599,"Sphyrapicus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/17779/medium.jpg","",,,,,,,,,,"Sapsuckers"
18464,18459,"Sphyrapicus ruber","species","https://inaturalist-open-data.s3.amazonaws.com/photos/19579329/medium.jpeg","Sphyrapicus ruber",,,,,,,"","","","Red-breasted Sapsucker"
19660,180354,"Regulus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/31747178/medium.jpg","",,,,,,,,,,"Firecrests, Goldcrests, and Allies"
20978,355675,"Amphibia","class","https://static.inaturalist.org/photos/20797296/medium.jpg","",,,,,,,,,,"Amphibians"
20979,20978,"Anura","order","https://inaturalist-open-data.s3.amazonaws.com/photos/2261717/medium.jpg","",,,,,,,,,,"Frogs and Toads"
23540,20979,"Hylidae","family","https://static.inaturalist.org/photos/646307/medium.jpg","",,,,,,,,,,"Tree Frogs and Allies"
24253,23540,"Pseudacris","genus","https://static.inaturalist.org/photos/79606/medium.jpg","",,,,,,,,,,"Chorus Frogs"
24259,24253,"Pseudacris regilla","species","https://inaturalist-open-data.s3.amazonaws.com/photos/173430494/medium.jpg","Pseudacris regilla",,,,,,,"","","","Northern Pacific Tree Frog"
25473,20979,"Ranidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/17781494/medium.jpeg","",,,,,,,,,,"Typical Frogs"
25474,25473,"Rana","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/2055749/medium.jpg","",,,,,,,,,,"Pond Frogs"
25545,25474,"Rana aurora","species","https://inaturalist-open-data.s3.amazonaws.com/photos/13807209/medium.jpg","Rana aurora",,,,,,,"","","","Northern Red-legged Frog"
26036,355675,"Reptilia","class","https://inaturalist-open-data.s3.amazonaws.com/photos/1892238/medium.jpg","",,,,,,,,,,"Reptiles"
26172,26036,"Squamata","order","https://inaturalist-open-data.s3.amazonaws.com/photos/28516312/medium.jpeg","",,,,,,,,,,"Snakes and Lizards"
26504,26172,"Colubridae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/1813733/medium.jpg","",,,,,,,,,,"Colubrid Snakes"
26718,20978,"Caudata","order","https://static.inaturalist.org/photos/27436795/medium.jpg","",,,,,,,,,,"Salamanders"
26720,26718,"Ambystomatidae","family","https://static.inaturalist.org/photos/20209480/medium.jpg","",,,,,,,,,,"Mole Salamanders"
26721,26720,"Ambystoma","genus","https://static.inaturalist.org/photos/31391521/medium.jpg","",,,,,,,,,,"Mole Salamanders"
26754,26721,"Ambystoma macrodactylum","species","https://inaturalist-open-data.s3.amazonaws.com/photos/30262875/medium.jpg","Ambystoma macrodactylum",,,,,,,"","","","Long-toed Salamander"
27701,26718,"Salamandridae","family","https://static.inaturalist.org/photos/32515901/medium.jpeg","",,,,,,,,,,"Newts"
27816,27701,"Taricha","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/13979999/medium.jpeg","",,,,,,,,,,"Pacific Newts"
27826,27816,"Taricha granulosa","species","https://inaturalist-open-data.s3.amazonaws.com/photos/27604/medium.jpg","Taricha granulosa",,,,,,,"","","","Rough-skinned Newt"
28339,26504,"Thamnophis","genus","https://static.inaturalist.org/photos/1348028/medium.JPG","",,,,,,,,,,"Garter Snakes"
28362,28339,"Thamnophis sirtalis","species","https://inaturalist-open-data.s3.amazonaws.com/photos/332752302/medium.jpeg","Thamnophis sirtalis",,,,,,,"","","","Common Garter Snake"
28363,28339,"Thamnophis sirtalis pickeringii","subspecies","https://static.inaturalist.org/photos/21127129/medium.jpg","Thamnophis sirtalis pickeringii",,,,,,,"","","","Puget Sound Garter Snake"
28389,28339,"Thamnophis ordinoides","species","https://inaturalist-open-data.s3.amazonaws.com/photos/197843/medium.jpg","Thamnophis ordinoides",,,,,,,"","","","Northwestern Garter Snake"
28398,28339,"Thamnophis elegans","species","https://inaturalist-open-data.s3.amazonaws.com/photos/48379/medium.jpg","Thamnophis elegans",,,,,,,"","","","Western Terrestrial Garter Snake"
31888,26172,"Anguidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/5874582/medium.jpeg","",,,,,,,,,,"Glass and Alligator Lizards"
32049,31888,"Elgaria","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/19680/medium.jpg","",,,,,,,,,,"Western Alligator Lizards"
32064,32049,"Elgaria coerulea","species","https://inaturalist-open-data.s3.amazonaws.com/photos/19546057/medium.jpg","Elgaria coerulea",,,,,,,"","","","Northern Alligator Lizard"
39532,26036,"Testudines","order","https://inaturalist-open-data.s3.amazonaws.com/photos/48987498/medium.jpeg","",,,,,,,,,,"Turtles and Tortoises"
39760,39532,"Emydidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/245989448/medium.jpg","",,,,,,,,,,"Pond and Box Turtles"
39776,39760,"Trachemys","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/13590/medium.jpg","",,,,,,,,,,"Sliders"
40151,355675,"Mammalia","class","https://inaturalist-open-data.s3.amazonaws.com/photos/80551250/medium.jpg","",,,,,,,,,,"Mammals"
41479,152870,"Delphinidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/9861/medium.jpg","",,,,,,,,,,"Oceanic Dolphins"
41520,41479,"Orcinus","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/360303852/medium.jpg","",,,,,,,,,,""
41521,41520,"Orcinus orca","species","https://inaturalist-open-data.s3.amazonaws.com/photos/153239969/medium.jpg","Orcinus orca",0,1,1,0,0,1,"q'ul-lhanamutsum","(Thom, 2011)","https://drive.google.com/file/d/1PvuZii7ZaK_iL_lt9rrffrE6BU_tE_cl/view?usp=sharing","killer whale"
41573,40151,"Carnivora","order","https://inaturalist-open-data.s3.amazonaws.com/photos/11354784/medium.jpg","",,,,,,,,,,"Carnivorans"
41687,41573,"Phocidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/71144/medium.jpg","",,,,,,,,,,"Earless Seals"
41707,41687,"Phoca","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/17353/medium.jpg","",,,,,,,,,,"common seals"
41736,41573,"Otariidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/17940763/medium.jpg","",,,,,,,,,,"Eared Seals"
41754,41736,"Eumetopias","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/5848/medium.jpg","",,,,,,,,,,"Steller Sea Lions"
41755,41754,"Eumetopias jubatus","species","https://inaturalist-open-data.s3.amazonaws.com/photos/61012945/medium.jpg","Eumetopias jubatus",1,1,1,1,1,1,"shes / ts'axulus","(Thom, 2011)","","Steller sea lion"
41770,41573,"Mustelidae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/154469560/medium.jpeg","",,,,,,,,,,"Mustelids"
41775,41770,"Lontra","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/11523/medium.jpg","",,,,,,,,,,"New World River Otters"
41777,41775,"Lontra canadensis","species","https://static.inaturalist.org/photos/99994014/medium.jpg","Lontra canadensis",0,1,1,1,1,1,"sqeetl'","(Thom, 2011)","","North American River Otter"
42158,152870,"Cervidae","family","https://static.inaturalist.org/photos/57974299/medium.jpg","",,,,,,,,,,"Deer"
42219,42158,"Odocoileus","genus","https://static.inaturalist.org/photos/11328568/medium.jpg","",,,,,,,,,,"White-tailed and Mule Deer"
42221,42219,"Odocoileus hemionus columbianus","subspecies","https://static.inaturalist.org/photos/26270120/medium.jpg","Odocoileus hemionus columbianus",1,1,1,1,1,1,"ha'put","(Thom, 2011)","https://drive.google.com/file/d/1kNmFVMvSX-4OhJGPst7PObkccL4-19cw/view?usp=sharing","Columbian Black-tailed Deer"
43698,40151,"Rodentia","order","https://inaturalist-open-data.s3.amazonaws.com/photos/24165841/medium.jpg","",,,,,,,,,,"Rodents"
43791,43698,"Castoridae","family","https://inaturalist-open-data.s3.amazonaws.com/photos/58706514/medium.jpg","",,,,,,,,,,"Beavers"
43792,43791,"Castor","genus","https://inaturalist-open-data.s3.amazonaws.com/photos/6359/medium.jpg","",,,,,,,,,,"Beavers"
43794,43792,"Castor canadensis","species","https://inaturalist-open-data.s3.amazonaws.com/photos/249990599/medium.jpeg","Castor canadensis",1,1,1,1,1,1,"sqwul'ew'","(Thom, 2011)","","American Beaver"
